Cycle,a,b,c,d,e,f,g,h
252,1590.1747203237023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,1590.187028308292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,1590.1993360196475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,1590.2116434577747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,1590.22395062268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,1575.2361405156678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,1575.248330138043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,1575.2605194898117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,1575.2727085709798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,1575.2848973815533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,1575.2970859215382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,1575.3092741909404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,1575.3214621897662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,1575.3336499180214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,1575.3458373757119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,1575.3580245628439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,1575.3702114794232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,1575.3823981254561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,1575.3945845009484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,1575.4067706059063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,1575.4189564403357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,1575.4311420042425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,1575.4433272976328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,1575.4555123205125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,1575.4676970728879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,1575.4798815547647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,1575.492065766149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,1575.5042497070467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,1575.516433377464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,1575.5286167774068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,1575.5407999068811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,1575.552982765893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,1575.5651653544483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,1575.577347672553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,1575.5895297202135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,1575.6017114974354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,1575.613893004225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,1575.6260742405882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,1575.6382552065309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,1575.6504359020591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,1575.662616327179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,1575.6747964818962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,1575.686976366217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,1575.6991559801475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,1575.7113353236934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,1575.723514396861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,1575.7356931996562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,1575.747871732085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,1575.7600499941534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,1575.7722279858674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,1575.784405707233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,1575.796583158256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,1575.8087603389426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,1575.8209372492988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,1575.8331138893307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,1575.845290259044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,1560.857349359744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,1560.8694081927347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,1560.8814667580223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,1560.8935250556126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,1560.9055830855118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,1560.9176408477256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,1560.92969834226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,1560.9417555691211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,1560.9538125283148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,1560.9658692198468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,1560.9779256437234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,1560.9899817999503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,1561.0020376885336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,1561.014093309479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,1561.0261486627926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,1561.0382037484803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,1561.050258566548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,1561.0623131170018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,1561.0743673998477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,1561.0864214150913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,1561.0984751627389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,1561.1105286427962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,1561.1225818552691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,1561.1346348001637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,1561.1466874774858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,1561.1587398872416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,1561.1707920294368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,1561.1828439040776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,1561.1948955111695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,1561.2069468507189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,1561.2189979227314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,1561.2310487272132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,1561.24309926417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,1561.255149533608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,1561.2671995355327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,1561.2792492699505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,1561.291298736867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,1561.3033479362884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,1561.3153968682207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,1561.3274455326696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,1561.339493929641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,1561.3515420591411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,1561.3635899211756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,1561.3756375157507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,1561.387684842872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,1561.3997319025457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,1561.4117786947775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,1561.4238252195735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,1561.4358714769396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,1561.4479174668818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
